,Unnamed: 0,url,title,site,pagesize,lan_code,lan_full
0,0,https://en.wikipedia.org/wiki/Jack%20and%20Finn%20Harries,Jack and Finn Harries,en.wikipedia.org,10333.0,en,English
1,1,https://en.wikipedia.org/wiki/Energy%20Performance%20of%20Buildings%20Directive%202024,Energy Performance of Buildings Directive 2024,en.wikipedia.org,18057.0,en,English
2,2,https://en.wikipedia.org/wiki/Photovoltaic%20power%20station,Photovoltaic power station,en.wikipedia.org,116671.0,en,English
3,3,https://es.wikipedia.org/wiki/Huerta%20solar,Huerta solar,es.wikipedia.org,4466.0,es,Spanish
4,4,https://de.wikipedia.org/wiki/Photovoltaik-Freifl%C3%A4chenanlage,Photovoltaik-Freiflächenanlage,de.wikipedia.org,59499.0,de,German
5,5,https://fr.wikipedia.org/wiki/Centrale%20solaire%20photovolta%C3%AFque,Centrale solaire photovoltaïque,fr.wikipedia.org,83326.0,fr,French
6,6,https://it.wikipedia.org/wiki/Centrale%20elettrica%20fotovoltaica,Centrale elettrica fotovoltaica,it.wikipedia.org,9099.0,it,Italian
7,7,https://pl.wikipedia.org/wiki/Elektrownia%20s%C5%82oneczna,Elektrownia słoneczna,pl.wikipedia.org,11654.0,pl,Polish
8,8,https://zh.wikipedia.org/wiki/%E5%85%89%E4%BC%8F%E7%94%B5%E7%AB%99,光伏电站,zh.wikipedia.org,2273.0,zh,Chinese
9,9,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D8%B7%D8%A9%20%D8%B7%D8%A7%D9%82%D8%A9%20%D9%83%D9%87%D8%B1%D8%B6%D9%88%D8%A6%D9%8A%D8%A9,محطة طاقة كهرضوئية,ar.wikipedia.org,36451.0,ar,Arabic
10,10,https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BD%D1%8F%D1%87%D0%BD%D0%B0%20%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D1%86%D1%96%D1%8F,Сонячна електростанція,uk.wikipedia.org,7665.0,uk,Ukrainian
11,11,https://hu.wikipedia.org/wiki/Fotovillamos%20naper%C5%91m%C5%B1,Fotovillamos naperőmű,hu.wikipedia.org,4355.0,hu,Hungarian
12,12,https://he.wikipedia.org/wiki/%D7%AA%D7%97%D7%A0%D7%AA%20%D7%9B%D7%95%D7%97%20%D7%A4%D7%95%D7%98%D7%95-%D7%95%D7%95%D7%9C%D7%98%D7%90%D7%99%D7%AA,תחנת כוח פוטו-וולטאית,he.wikipedia.org,23513.0,he,Hebrew
13,13,https://fi.wikipedia.org/wiki/Aurinkopuisto,Aurinkopuisto,fi.wikipedia.org,1555.0,fi,Finnish
14,14,https://en.wikipedia.org/wiki/Don%27t%20Look%20Up,Don't Look Up,en.wikipedia.org,124010.0,en,English
15,15,https://es.wikipedia.org/wiki/Don%27t%20Look%20Up,Don't Look Up,es.wikipedia.org,31273.0,es,Spanish
